2021-12-21 12:18:11,396 - [main] INFO       | com.mediscreen.assessmentmicroservice.controller.AssessmentController |  ---> /assess/id/{id} - getAssessmentForPatientByIdPatient (AssessmentController.java:47)
2021-12-21 12:18:11,476 - [main] INFO       | com.mediscreen.assessmentmicroservice.controller.AssessmentController |  ---> /assess/familyName/{familyName} - getAssessmentForPatientWithFamilyName (AssessmentController.java:60)
2021-12-21 12:18:11,496 - [main] INFO       | com.mediscreen.assessmentmicroservice.controller.AssessmentController |  ---> getHome  (AssessmentController.java:34)
2021-12-21 15:32:55,169 - [main] INFO       | com.mediscreen.assessmentmicroservice.controller.AssessmentController |  ---> /assess/id/{id} - getAssessmentForPatientByIdPatient (AssessmentController.java:47)
2021-12-21 15:32:55,222 - [main] INFO       | com.mediscreen.assessmentmicroservice.controller.AssessmentController |  ---> /assess/familyName/{familyName} - getAssessmentForPatientWithFamilyName (AssessmentController.java:60)
2021-12-21 15:32:55,234 - [main] INFO       | com.mediscreen.assessmentmicroservice.controller.AssessmentController |  ---> getHome  (AssessmentController.java:34)
2021-12-21 18:11:52,099 - [main] INFO       | com.mediscreen.assessmentmicroservice.controller.AssessmentController |  ---> /assess/id/{id} - getAssessmentForPatientByIdPatient (AssessmentController.java:47)
2021-12-21 18:11:52,167 - [main] INFO       | com.mediscreen.assessmentmicroservice.controller.AssessmentController |  ---> /assess/familyName/{familyName} - getAssessmentForPatientWithFamilyName (AssessmentController.java:60)
2021-12-21 18:11:52,178 - [main] INFO       | com.mediscreen.assessmentmicroservice.controller.AssessmentController |  ---> getHome  (AssessmentController.java:34)
2021-12-21 18:13:01,716 - [main] INFO       | com.mediscreen.assessmentmicroservice.controller.AssessmentController |  ---> /assess/id/{id} - getAssessmentForPatientByIdPatient (AssessmentController.java:47)
2021-12-21 18:13:01,782 - [main] INFO       | com.mediscreen.assessmentmicroservice.controller.AssessmentController |  ---> /assess/familyName/{familyName} - getAssessmentForPatientWithFamilyName (AssessmentController.java:60)
2021-12-21 18:13:01,792 - [main] INFO       | com.mediscreen.assessmentmicroservice.controller.AssessmentController |  ---> getHome  (AssessmentController.java:34)
2021-12-21 18:28:23,596 - [main] INFO       | com.mediscreen.assessmentmicroservice.controller.AssessmentController |  ---> /assess/id/{id} - getAssessmentForPatientByIdPatient (AssessmentController.java:47)
2021-12-21 18:28:23,655 - [main] INFO       | com.mediscreen.assessmentmicroservice.controller.AssessmentController |  ---> /assess/familyName/{familyName} - getAssessmentForPatientWithFamilyName (AssessmentController.java:60)
2021-12-21 18:28:23,665 - [main] INFO       | com.mediscreen.assessmentmicroservice.controller.AssessmentController |  ---> getHome  (AssessmentController.java:34)
2021-12-21 19:00:17,180 - [main] ERROR      | com.mediscreen.assessmentmicroservice.exception.DataNotFoundException |   **--> Patient with this id is unknown (DataNotFoundException.java:15)
2021-12-21 22:56:33,737 - [http-nio-auto-1-exec-1] INFO       | com.mediscreen.assessmentmicroservice.controller.AssessmentController |  ---> /assess/id/{id} - getAssessmentForPatientByIdPatient (AssessmentController.java:47)
