2021-12-23 21:38:02,097 - [main] INFO       | com.mediscreen.assessmentmicroservice.controller.AssessmentController |  ---> /assess/id/{id} - getAssessmentForPatientByIdPatient (AssessmentController.java:47)
2021-12-23 21:38:02,170 - [main] INFO       | com.mediscreen.assessmentmicroservice.controller.AssessmentController |  ---> /assess/familyName/{familyName} - getAssessmentForPatientWithFamilyName (AssessmentController.java:60)
2021-12-23 21:38:02,183 - [main] INFO       | com.mediscreen.assessmentmicroservice.controller.AssessmentController |  ---> getHome  (AssessmentController.java:34)
2021-12-23 21:38:05,984 - [http-nio-auto-1-exec-1] INFO       | com.mediscreen.assessmentmicroservice.controller.AssessmentController |  ---> /assess/familyName/{familyName} - getAssessmentForPatientWithFamilyName (AssessmentController.java:60)
2021-12-23 21:38:08,120 - [http-nio-auto-1-exec-2] INFO       | com.mediscreen.assessmentmicroservice.controller.AssessmentController |  ---> /assess/id/{id} - getAssessmentForPatientByIdPatient (AssessmentController.java:47)
2021-12-23 21:38:10,165 - [http-nio-auto-1-exec-2] ERROR      | com.mediscreen.assessmentmicroservice.exception.DataNotFoundException |   **--> Patient with this id is unknown (DataNotFoundException.java:15)
2021-12-23 21:38:12,207 - [main] ERROR      | com.mediscreen.assessmentmicroservice.exception.DataNotFoundException |   **--> Patient with this id is unknown (DataNotFoundException.java:15)
2021-12-23 21:39:14,468 - [main] INFO       | com.mediscreen.assessmentmicroservice.controller.AssessmentController |  ---> /assess/id/{id} - getAssessmentForPatientByIdPatient (AssessmentController.java:47)
2021-12-23 21:39:14,532 - [main] INFO       | com.mediscreen.assessmentmicroservice.controller.AssessmentController |  ---> /assess/familyName/{familyName} - getAssessmentForPatientWithFamilyName (AssessmentController.java:60)
2021-12-23 21:39:14,544 - [main] INFO       | com.mediscreen.assessmentmicroservice.controller.AssessmentController |  ---> getHome  (AssessmentController.java:34)
2021-12-23 21:39:18,328 - [http-nio-auto-1-exec-1] INFO       | com.mediscreen.assessmentmicroservice.controller.AssessmentController |  ---> /assess/familyName/{familyName} - getAssessmentForPatientWithFamilyName (AssessmentController.java:60)
2021-12-23 21:39:18,878 - [http-nio-auto-1-exec-2] INFO       | com.mediscreen.assessmentmicroservice.controller.AssessmentController |  ---> /assess/id/{id} - getAssessmentForPatientByIdPatient (AssessmentController.java:47)
