2021-12-23 17:04:11,992 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-12-23 17:10:04,370 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-12-23 17:12:05,911 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-12-23 17:12:07,287 - [main] INFO       | com.clientui.clientui.controller.PatientController           |  ----> Launch /patReport/{id} with id: 2 (AssessmentController.java:52)
2021-12-23 17:13:18,663 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-12-23 17:13:20,065 - [main] INFO       | com.clientui.clientui.controller.PatientController           |  ----> Launch /patReport/{id} with id: 2 (AssessmentController.java:52)
2021-12-23 17:14:18,993 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-12-23 17:14:20,482 - [main] INFO       | com.clientui.clientui.controller.PatientController           |  ----> Launch /patReport/{id} with id: 2 (AssessmentController.java:52)
2021-12-23 17:16:49,158 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-12-23 17:16:50,579 - [main] INFO       | com.clientui.clientui.controller.PatientController           |  ----> Launch /patReport/{id} with id: 2 (AssessmentController.java:52)
2021-12-23 17:23:17,651 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-12-23 17:23:19,057 - [main] INFO       | com.clientui.clientui.controller.PatientController           |  ----> Launch /patReport/{id} with id: 2 (AssessmentController.java:52)
2021-12-23 17:23:43,106 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-12-23 17:23:44,561 - [main] INFO       | com.clientui.clientui.controller.PatientController           |  ----> Launch /patReport/{id} with id: 2 (AssessmentController.java:52)
2021-12-23 17:28:12,827 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-12-23 17:28:14,179 - [main] INFO       | com.clientui.clientui.controller.PatientController           |  ----> Launch /report/list  (AssessmentController.java:36)
2021-12-23 17:29:37,519 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-12-23 17:29:38,835 - [main] INFO       | com.clientui.clientui.controller.PatientController           |  ----> Launch /report/list  (AssessmentController.java:36)
2021-12-23 17:30:06,391 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-12-23 17:30:10,027 - [main] INFO       | com.clientui.clientui.controller.PatientController           |  ----> Launch /report/list  (AssessmentController.java:36)
2021-12-23 17:30:10,619 - [main] INFO       | com.clientui.clientui.controller.PatientController           |  ----> Launch /patReport/{id} with id: 2 (AssessmentController.java:52)
2021-12-23 17:54:22,607 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-12-23 17:56:57,350 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-12-23 17:58:31,770 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-12-23 18:01:40,091 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-12-23 18:03:27,029 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-12-23 18:09:18,304 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-12-23 18:09:47,164 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-12-23 18:10:21,291 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-12-23 18:10:58,603 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-12-23 18:23:27,905 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
