2021-12-21 18:32:04,013 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-12-21 18:32:08,077 - [main] INFO       | com.mediscreen.historymicroservice.service.PatientHistoryServiceImp |  ---> Launch findAll (PatientHistoryServiceImp.java:38)
2021-12-21 18:32:08,266 - [main] INFO       | com.mediscreen.historymicroservice.service.PatientHistoryServiceImp |  ---> Launch addPatientHistory (PatientHistoryServiceImp.java:78)
2021-12-21 18:32:08,321 - [main] INFO       | com.mediscreen.historymicroservice.service.PatientHistoryServiceImp |  ---> Launch findAll (PatientHistoryServiceImp.java:38)
2021-12-21 18:32:08,334 - [main] INFO       | com.mediscreen.historymicroservice.service.PatientHistoryServiceImp |  ---> Launch findById with id = 61c20f984c76527e6d0f7711 (PatientHistoryServiceImp.java:51)
2021-12-21 18:32:08,348 - [main] INFO       | com.mediscreen.historymicroservice.service.PatientHistoryServiceImp |  ---> Launch findAllByPatientId with id = 1 (PatientHistoryServiceImp.java:65)
2021-12-21 18:32:08,373 - [main] INFO       | com.mediscreen.historymicroservice.service.PatientHistoryServiceImp |  ---> Launch updatePatientHistory with id = 61c20f984c76527e6d0f7711 (PatientHistoryServiceImp.java:92)
2021-12-21 18:32:08,385 - [main] INFO       | com.mediscreen.historymicroservice.service.PatientHistoryServiceImp |  ---> PatientHistory with id = 61c20f984c76527e6d0f7711 update success ! (PatientHistoryServiceImp.java:97)
2021-12-21 18:32:08,386 - [main] INFO       | com.mediscreen.historymicroservice.service.PatientHistoryServiceImp |  ---> Launch deletePatientHistory with id = 61c20f984c76527e6d0f7711 (PatientHistoryServiceImp.java:108)
2021-12-21 18:32:08,395 - [main] INFO       | com.mediscreen.historymicroservice.service.PatientHistoryServiceImp |  ---> PatientHistory note id:-61c20f984c76527e6d0f7711- deleted ! (PatientHistoryServiceImp.java:110)
2021-12-21 18:32:08,395 - [main] INFO       | com.mediscreen.historymicroservice.service.PatientHistoryServiceImp |  ---> Launch findAll (PatientHistoryServiceImp.java:38)
2021-12-21 18:32:08,407 - [main] INFO       | com.mediscreen.historymicroservice.service.PatientHistoryServiceImp |  ---> Launch findById with id = 61c20f984c76527e6d0f7711 (PatientHistoryServiceImp.java:51)
2021-12-21 18:32:08,410 - [main] ERROR      | com.mediscreen.historymicroservice.exception.DataNotFoundException |   **--> PatientHistory with this id is unknown (DataNotFoundException.java:15)
2021-12-21 18:32:09,785 - [main] ERROR      | com.mediscreen.historymicroservice.exception.DataNotFoundException |   **--> message not found (DataNotFoundException.java:15)
2021-12-21 18:32:09,849 - [main] INFO       | com.mediscreen.historymicroservice.controller.PatientHistoryController |  ---> Launch getAllPatientHistories() (PatientHistoryController.java:40)
2021-12-21 18:32:10,057 - [main] INFO       | com.mediscreen.historymicroservice.controller.PatientHistoryController |  ---> Launch addPatientHistory() (PatientHistoryController.java:67)
2021-12-21 18:32:10,076 - [main] INFO       | com.mediscreen.historymicroservice.controller.PatientHistoryController |  ---> Launch getAllPatientHistories() (PatientHistoryController.java:33)
