2021-12-23 21:37:15,092 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-12-23 21:37:17,913 - [main] ERROR      | com.mediscreen.historymicroservice.exception.DataNotFoundException |   **--> message not found (DataNotFoundException.java:15)
2021-12-23 21:37:17,989 - [main] INFO       | com.mediscreen.historymicroservice.controller.PatientHistoryController |  ---> Launch getAllPatientHistories() (PatientHistoryController.java:40)
2021-12-23 21:37:18,180 - [main] INFO       | com.mediscreen.historymicroservice.controller.PatientHistoryController |  ---> Launch addPatientHistory() (PatientHistoryController.java:67)
2021-12-23 21:37:18,197 - [main] INFO       | com.mediscreen.historymicroservice.controller.PatientHistoryController |  ---> Launch getAllPatientHistories() (PatientHistoryController.java:40)
2021-12-23 21:37:18,205 - [main] INFO       | com.mediscreen.historymicroservice.controller.PatientHistoryController |  ---> Launch getAllPatientHistories() (PatientHistoryController.java:33)
2021-12-23 21:37:18,215 - [main] INFO       | com.mediscreen.historymicroservice.controller.PatientHistoryController |  ---> Launch deletePatientHistory() with id = 1 (PatientHistoryController.java:94)
2021-12-23 21:37:18,216 - [main] INFO       | com.mediscreen.historymicroservice.controller.PatientHistoryController |   --> ** patientHistory Deleted ** id: 1 (PatientHistoryController.java:96)
2021-12-23 21:37:18,234 - [main] INFO       | com.mediscreen.historymicroservice.controller.PatientHistoryController |  ---> Launch getPatientHistoryBypatientId() - id = 1 (PatientHistoryController.java:53)
2021-12-23 21:37:18,244 - [main] INFO       | com.mediscreen.historymicroservice.controller.PatientHistoryController |  ---> Launch putPatientHistory() (PatientHistoryController.java:81)
2021-12-23 21:37:18,376 - [main] INFO       | com.mediscreen.historymicroservice.service.PatientHistoryServiceImp |  ---> Launch updatePatientHistory with id = MongoId-NoExist (PatientHistoryServiceImp.java:92)
2021-12-23 21:37:18,378 - [main] ERROR      | com.mediscreen.historymicroservice.exception.DataNotFoundException |   **--> PatientHistory with id = MongoId-NoExist is unknown  (DataNotFoundException.java:15)
2021-12-23 21:37:18,385 - [main] INFO       | com.mediscreen.historymicroservice.service.PatientHistoryServiceImp |  ---> Launch addPatientHistory (PatientHistoryServiceImp.java:78)
2021-12-23 21:37:18,464 - [main] INFO       | com.mediscreen.historymicroservice.service.PatientHistoryServiceImp |  ---> Launch updatePatientHistory with id = MongoId1 (PatientHistoryServiceImp.java:92)
2021-12-23 21:37:18,465 - [main] INFO       | com.mediscreen.historymicroservice.service.PatientHistoryServiceImp |  ---> PatientHistory with id = MongoId1 update success ! (PatientHistoryServiceImp.java:97)
2021-12-23 21:37:18,468 - [main] INFO       | com.mediscreen.historymicroservice.service.PatientHistoryServiceImp |  ---> Launch findById with id = IdNotExist (PatientHistoryServiceImp.java:51)
2021-12-23 21:37:18,469 - [main] ERROR      | com.mediscreen.historymicroservice.exception.DataNotFoundException |   **--> PatientHistory with this id is unknown (DataNotFoundException.java:15)
2021-12-23 21:37:18,472 - [main] INFO       | com.mediscreen.historymicroservice.service.PatientHistoryServiceImp |  ---> Launch findAllByPatientId with id = 0 (PatientHistoryServiceImp.java:65)
2021-12-23 21:37:18,477 - [main] INFO       | com.mediscreen.historymicroservice.service.PatientHistoryServiceImp |  ---> Launch findAll (PatientHistoryServiceImp.java:38)
2021-12-23 21:37:18,480 - [main] INFO       | com.mediscreen.historymicroservice.service.PatientHistoryServiceImp |  ---> Launch findById with id = MongoId1 (PatientHistoryServiceImp.java:51)
2021-12-23 21:37:18,483 - [main] INFO       | com.mediscreen.historymicroservice.service.PatientHistoryServiceImp |  ---> Launch findAllByPatientId with id = 2 (PatientHistoryServiceImp.java:65)
2021-12-23 21:37:18,485 - [main] INFO       | com.mediscreen.historymicroservice.service.PatientHistoryServiceImp |  ---> Launch findById with id = null (PatientHistoryServiceImp.java:51)
2021-12-23 21:37:18,486 - [main] ERROR      | com.mediscreen.historymicroservice.exception.DataNotFoundException |   **--> PatientHistory with this id is unknown (DataNotFoundException.java:15)
2021-12-23 21:37:18,488 - [main] INFO       | com.mediscreen.historymicroservice.service.PatientHistoryServiceImp |  ---> Launch deletePatientHistory with id = MongoId1 (PatientHistoryServiceImp.java:108)
2021-12-23 21:37:18,489 - [main] INFO       | com.mediscreen.historymicroservice.service.PatientHistoryServiceImp |  ---> PatientHistory note id:-MongoId1- deleted ! (PatientHistoryServiceImp.java:110)
2021-12-23 21:37:20,569 - [main] INFO       | com.mediscreen.historymicroservice.service.PatientHistoryServiceImp |  ---> Launch findAll (PatientHistoryServiceImp.java:38)
2021-12-23 21:37:20,723 - [main] INFO       | com.mediscreen.historymicroservice.service.PatientHistoryServiceImp |  ---> Launch addPatientHistory (PatientHistoryServiceImp.java:78)
2021-12-23 21:37:20,766 - [main] INFO       | com.mediscreen.historymicroservice.service.PatientHistoryServiceImp |  ---> Launch findAll (PatientHistoryServiceImp.java:38)
2021-12-23 21:37:20,779 - [main] INFO       | com.mediscreen.historymicroservice.service.PatientHistoryServiceImp |  ---> Launch findById with id = 61c4de009cbbb1085c6d5078 (PatientHistoryServiceImp.java:51)
2021-12-23 21:37:20,792 - [main] INFO       | com.mediscreen.historymicroservice.service.PatientHistoryServiceImp |  ---> Launch findAllByPatientId with id = 1 (PatientHistoryServiceImp.java:65)
